Airline,Destination,Total_Stops,day,month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_hours,Duration_minutes,Source_Banglore,Source_Kolkata,Source_Delhi,Source_Chennai,Source_Mumbai,Price
7,2,1,15,3,22,0,10,50,12,50,1,0,0,0,0,9223.588979414682
3,2,0,1,3,6,0,8,45,2,45,1,0,0,0,0,9880.393537946433
10,3,1,24,3,21,10,22,35,25,25,0,1,0,0,0,11172.00418154761
10,4,1,15,5,2,15,12,35,10,20,0,0,1,0,0,13802.52252074314
10,3,1,12,5,14,5,22,35,8,30,0,1,0,0,0,13175.55887863006
3,2,0,9,3,8,30,11,30,3,0,1,0,0,0,0,7192.13918797348
7,4,1,27,5,20,40,9,25,12,45,0,0,1,0,0,7511.101424851191
3,2,0,18,5,21,15,0,15,3,0,1,0,0,0,0,3993.438921130952
7,3,0,12,5,14,15,16,45,2,30,0,1,0,0,0,5641.25999199585
10,3,1,9,6,16,30,4,40,12,10,0,1,0,0,0,12123.627696608943
7,4,1,15,5,9,45,8,15,22,30,0,0,1,0,0,8976.812917906751
10,3,1,15,5,8,25,16,20,7,55,0,1,0,0,0,13227.833730158734
8,4,1,3,3,14,35,22,20,7,45,0,0,1,0,0,11122.190028591203
8,4,1,27,5,14,0,21,0,7,0,0,0,1,0,0,12737.772177353894
10,2,0,24,5,11,10,14,5,2,55,1,0,0,0,0,5141.414218299063
1,3,0,1,6,17,10,19,40,2,30,0,1,0,0,0,3987.429268353174
1,2,0,21,6,21,10,0,5,2,55,1,0,0,0,0,3890.49683599387
3,3,0,15,3,17,15,19,55,2,40,0,1,0,0,0,4642.146090125153
3,2,0,15,6,20,0,22,50,2,50,1,0,0,0,0,4829.785809208153
10,3,1,12,5,14,5,12,0,21,55,0,1,0,0,0,11211.617210046901
10,1,0,12,5,19,35,21,5,1,30,0,0,0,0,1,4601.130606511545
10,2,0,18,5,19,50,22,50,3,0,1,0,0,0,0,5489.13062996032
8,4,1,27,3,9,0,15,30,6,30,0,0,1,0,0,8929.600913938495
3,2,0,21,5,16,55,19,55,3,0,1,0,0,0,0,4858.686071428574
4,3,0,18,6,15,20,17,55,2,35,0,1,0,0,0,3767.6818973214286
1,2,0,6,5,9,30,12,20,2,50,1,0,0,0,0,4284.459880614175
7,2,0,27,5,6,10,8,55,2,45,1,0,0,0,0,6383.97556671627
7,4,2,27,5,7,5,9,25,26,20,0,0,1,0,0,10555.068203575942
1,3,0,18,3,22,20,0,40,2,20,0,1,0,0,0,4038.918887527404
1,3,1,1,5,8,35,17,15,8,40,0,1,0,0,0,6566.033669733044
3,0,0,9,3,14,40,17,5,2,25,0,0,0,1,0,6368.625386904765
7,4,2,1,6,20,15,19,15,23,0,0,0,1,0,0,13323.353792275433
10,4,2,24,6,9,40,19,0,9,20,0,0,1,0,0,13012.375330537525
3,2,0,3,3,21,20,0,15,2,55,1,0,0,0,0,6880.166026785713
3,2,0,6,4,1,30,4,15,2,45,1,0,0,0,0,4152.834551091273
7,2,2,18,3,8,50,10,35,25,45,1,0,0,0,0,11029.157309027776
1,3,0,3,5,17,10,19,40,2,30,0,1,0,0,0,3934.0432056051604
1,3,1,6,5,15,5,20,20,5,15,0,1,0,0,0,4949.039636561358
7,3,2,24,3,9,10,18,30,33,20,0,1,0,0,0,12142.450665697153
8,4,1,27,3,9,55,1,35,15,40,0,0,1,0,0,8935.556414930563
10,3,1,18,5,20,0,10,5,14,5,0,1,0,0,0,10987.828773561507
7,3,1,6,5,9,25,21,50,12,25,0,1,0,0,0,8756.939817534896
3,1,0,3,5,19,5,20,35,1,30,0,0,0,0,1,3100.576288893398
1,3,0,24,6,22,20,0,40,2,20,0,1,0,0,0,3887.762668650795
10,2,1,6,3,8,55,20,20,11,25,1,0,0,0,0,15165.540809320883
8,4,1,6,5,9,0,19,15,10,15,0,0,1,0,0,13333.258746730698
5,2,1,3,3,6,40,21,55,15,15,1,0,0,0,0,13326.917062251989
10,3,1,9,6,20,25,10,55,14,30,0,1,0,0,0,11130.47078869047
8,4,1,3,6,17,30,1,30,8,0,0,0,1,0,0,12978.576371076848
2,4,1,21,4,7,55,15,45,7,50,0,0,1,0,0,6562.7974851190465
1,3,0,27,6,22,20,0,40,2,20,0,1,0,0,0,3864.804223328755
8,4,1,15,5,8,0,21,0,13,0,0,0,1,0,0,12086.786173496646
5,1,1,6,3,20,55,9,25,12,30,0,0,0,0,1,12336.116313131315
1,1,0,27,5,13,15,14,45,1,30,0,0,0,0,1,2232.2162617243866
8,4,1,12,6,10,20,21,0,10,40,0,0,1,0,0,7848.191067031929
7,4,2,6,6,22,0,19,15,21,15,0,0,1,0,0,10584.441672641595
3,0,0,21,5,11,35,14,0,2,25,0,0,0,1,0,4211.967991071429
7,3,2,6,6,8,20,11,10,26,50,0,1,0,0,0,11083.477451255341
7,4,1,21,5,6,10,23,0,16,50,0,0,1,0,0,7916.562237007788
10,2,0,27,4,6,0,8,45,2,45,1,0,0,0,0,5631.610357030125
7,3,1,1,4,9,25,18,30,9,5,0,1,0,0,0,8371.29120659722
10,4,1,21,5,18,15,4,25,10,10,0,0,1,0,0,12874.06556389791
10,4,1,1,6,2,15,19,0,16,45,0,0,1,0,0,12227.574084821426
7,3,1,24,3,9,25,7,55,22,30,0,1,0,0,0,10236.475935921713
1,0,0,21,5,9,45,12,0,2,15,0,0,0,1,0,3577.835064935065
3,4,1,21,3,4,55,16,10,11,15,0,0,1,0,0,6739.477725018039
1,2,0,9,6,5,55,8,35,2,40,1,0,0,0,0,3662.1342818813127
10,4,1,21,3,9,0,4,25,19,25,0,0,1,0,0,11587.651445932537
10,4,2,12,6,5,30,4,25,22,55,0,0,1,0,0,12887.25351190476
8,4,2,3,3,9,45,21,20,11,35,0,0,1,0,0,10531.894408482149
5,3,1,24,5,17,0,10,45,17,45,0,1,0,0,0,9369.417531565658
7,4,0,15,6,14,10,17,10,3,0,0,0,1,0,0,5545.731954365078
7,3,2,15,5,12,0,11,10,23,10,0,1,0,0,0,10915.440392420081
10,3,1,6,6,9,35,10,55,25,20,0,1,0,0,0,11675.476521013716
3,4,1,27,4,6,50,12,10,5,20,0,0,1,0,0,5594.077156948953
8,4,2,6,3,17,50,1,35,7,45,0,0,1,0,0,11209.420389384919
10,3,1,1,5,8,25,8,15,23,50,0,1,0,0,0,11287.490080154223
10,3,1,9,5,16,30,22,35,6,5,0,1,0,0,0,13249.988640873009
7,4,2,6,6,17,15,7,40,14,25,0,0,1,0,0,12660.194259672617
10,4,2,3,6,19,30,12,35,17,5,0,0,1,0,0,11676.229366319447
10,1,1,6,3,16,0,16,50,24,50,0,0,0,0,1,18582.937911029934
2,2,0,6,4,4,55,7,45,2,50,1,0,0,0,0,4479.743191964286
3,4,1,27,6,15,0,1,30,10,30,0,0,1,0,0,6586.529010980337
8,4,1,6,6,18,15,1,30,7,15,0,0,1,0,0,12356.93330650253
3,0,0,18,5,13,15,15,35,2,20,0,0,0,1,0,3605.621272321428
1,3,0,24,3,9,0,11,30,2,30,0,1,0,0,0,4542.1353153183645
7,4,2,15,6,12,0,7,40,19,40,0,0,1,0,0,9576.309319309166
3,3,0,12,3,15,20,17,55,2,35,0,1,0,0,0,4810.5207727949155
3,1,0,1,4,12,0,13,30,1,30,0,0,0,0,1,2949.8883984938666
1,4,1,27,4,15,45,22,5,6,20,0,0,1,0,0,6430.049751533188
10,3,1,24,5,17,0,9,45,16,45,0,1,0,0,0,12843.171752344873
7,3,2,1,4,7,0,1,20,18,20,0,1,0,0,0,11640.447217391986
10,3,1,15,5,16,30,19,50,27,20,0,1,0,0,0,10623.33474454365
10,1,0,21,6,2,55,4,20,1,25,0,0,0,0,1,4868.633679653682
10,2,1,1,3,22,50,8,15,9,25,1,0,0,0,0,10223.460987103173
3,2,0,18,5,0,30,3,25,2,55,1,0,0,0,0,3870.828351934524
3,2,1,9,3,15,15,20,25,5,10,1,0,0,0,0,7744.102065009649
8,4,2,9,5,17,50,1,30,7,40,0,0,1,0,0,17682.82469494048
3,3,0,12,3,22,10,0,55,2,45,0,1,0,0,0,4482.285809546356
8,4,1,15,6,6,0,12,35,6,35,0,0,1,0,0,11160.489613207967
7,3,1,24,5,19,0,11,5,16,5,0,1,0,0,0,6666.917042072511
10,3,1,9,5,9,35,14,25,28,50,0,1,0,0,0,10780.188442460323
8,4,1,3,6,8,0,21,0,13,0,0,0,1,0,0,11191.061879509378
7,2,2,6,3,8,50,23,25,14,35,1,0,0,0,0,12153.092913848306
3,2,0,6,6,16,55,19,55,3,0,1,0,0,0,0,4858.853386318542
8,4,2,9,6,15,5,1,30,10,25,0,0,1,0,0,16360.864267338568
10,4,2,21,5,23,5,19,0,19,55,0,0,1,0,0,14796.150412946427
7,3,2,9,5,8,20,21,50,13,30,0,1,0,0,0,10952.971764364109
5,2,0,15,4,7,0,9,40,2,40,1,0,0,0,0,5294.074991319445
8,4,1,6,6,10,0,21,0,11,0,0,0,1,0,0,11598.689954117068
3,4,1,24,5,11,25,1,30,14,5,0,0,1,0,0,6418.5748177083315
10,4,2,3,3,5,25,4,25,23,0,0,0,1,0,0,17065.0372614885
7,4,3,27,5,5,15,19,15,38,0,0,0,1,0,0,10725.507297867061
7,4,1,6,3,13,0,19,15,6,15,0,0,1,0,0,13360.458519345237
3,4,1,6,3,10,45,15,30,4,45,0,0,1,0,0,8411.240240575396
8,4,1,18,5,12,50,19,15,6,25,0,0,1,0,0,8236.749233180015
10,4,2,6,6,6,45,4,25,21,40,0,0,1,0,0,13052.067744182907
8,4,1,27,5,7,5,16,10,9,5,0,0,1,0,0,9269.23173487103
7,4,0,15,6,18,5,21,10,3,5,0,0,1,0,0,6050.684860998381
10,4,2,27,6,13,25,12,35,23,10,0,0,1,0,0,12744.569200825215
3,3,1,12,5,9,20,14,15,4,55,0,1,0,0,0,10691.561494182894
7,3,2,18,5,16,45,8,55,16,10,0,1,0,0,0,14144.119840983662
3,1,0,27,3,2,30,4,0,1,30,0,0,0,0,1,3973.701243348665
3,2,0,24,5,16,55,19,55,3,0,1,0,0,0,0,4844.19299107143
10,3,1,24,3,13,55,20,40,6,45,0,1,0,0,0,11978.396274350653
10,2,0,21,6,6,0,8,45,2,45,1,0,0,0,0,7280.542826635168
3,2,0,3,3,23,30,2,20,2,50,1,0,0,0,0,6578.784486156204
10,4,2,27,5,23,5,12,35,13,30,0,0,1,0,0,14478.838221812906
3,2,0,24,6,21,15,0,15,3,0,1,0,0,0,0,3977.257109375001
10,3,1,6,5,16,30,23,35,7,5,0,1,0,0,0,12939.622051654944
8,4,1,9,3,7,30,19,15,11,45,0,0,1,0,0,13645.19003066378
10,4,1,24,6,13,0,19,0,6,0,0,0,1,0,0,11529.252424693359
7,3,2,12,6,7,0,5,25,22,25,0,1,0,0,0,12591.653105158728
5,2,0,21,5,11,30,14,20,2,50,1,0,0,0,0,4762.656051587301
2,4,1,15,5,7,55,22,25,14,30,0,0,1,0,0,6507.200757350291
5,3,1,1,5,17,0,23,25,6,25,0,1,0,0,0,8614.67968874008
1,2,0,3,6,5,55,8,35,2,40,1,0,0,0,0,3688.1484505772014
8,4,1,9,4,9,45,0,55,15,10,0,0,1,0,0,9688.088190273264
10,3,1,6,5,21,10,16,20,19,10,0,1,0,0,0,10838.569383680555
10,3,1,15,5,14,5,19,50,5,45,0,1,0,0,0,12451.537600108224
4,2,0,3,3,7,45,10,40,2,55,1,0,0,0,0,7413.191593328551
3,4,1,27,3,11,55,22,20,10,25,0,0,1,0,0,6710.877338789682
10,4,1,3,6,19,15,4,25,9,10,0,0,1,0,0,11790.97718998016
7,4,1,1,3,20,40,9,25,12,45,0,0,1,0,0,11920.728617875178
5,3,1,9,5,20,20,20,20,24,0,0,1,0,0,0,8566.480582611834
7,2,2,21,3,8,15,22,55,14,40,1,0,0,0,0,9918.326712549602
1,3,0,15,3,6,55,9,35,2,40,0,1,0,0,0,4152.034999323592
3,2,0,15,3,7,10,10,5,2,55,1,0,0,0,0,6863.394926835313
7,4,1,21,4,9,45,8,15,22,30,0,0,1,0,0,7730.77128517316
3,4,1,1,4,16,0,21,0,5,0,0,0,1,0,0,5882.546321161476
3,4,1,9,3,6,40,22,20,15,40,0,0,1,0,0,7901.4488958784295
10,4,1,6,3,23,5,4,25,5,20,0,0,1,0,0,14191.555520720596
7,2,2,12,3,17,25,13,55,20,30,1,0,0,0,0,12619.074165426593
7,4,2,1,6,9,45,9,25,23,40,0,0,1,0,0,10878.479050888349
5,3,1,1,5,7,10,23,25,16,15,0,1,0,0,0,8616.697356064073
10,4,2,12,6,5,30,4,25,22,55,0,0,1,0,0,12887.25351190476
5,1,1,6,3,14,40,22,55,8,15,0,0,0,0,1,12619.982771464645
10,3,1,12,6,9,35,18,0,8,25,0,1,0,0,0,13051.449009176587
7,3,2,24,5,9,50,8,55,23,5,0,1,0,0,0,14019.970358382943
10,3,1,1,4,16,30,12,0,19,30,0,1,0,0,0,9543.777560763898
7,2,2,18,3,8,50,11,10,26,20,1,0,0,0,0,11962.709267789503
3,3,1,21,5,15,15,20,30,5,15,0,1,0,0,0,5631.576176497114
5,2,0,9,5,21,0,23,50,2,50,1,0,0,0,0,4995.026398471321
1,0,0,6,3,8,20,10,35,2,15,0,0,0,1,0,5923.112511160713
8,4,1,18,5,13,0,1,30,12,30,0,0,1,0,0,10333.040808531741
10,2,1,9,3,8,0,9,10,25,10,1,0,0,0,0,12296.750073164689
3,4,1,18,5,11,25,1,30,14,5,0,0,1,0,0,6782.517886904761
10,3,1,6,6,17,0,14,25,21,25,0,1,0,0,0,11472.16469990079
10,1,0,21,3,15,50,17,20,1,30,0,0,0,0,1,3977.9925568181816
8,4,1,1,6,10,35,19,15,8,40,0,0,1,0,0,9289.471192531426
3,3,1,9,6,15,15,20,5,4,50,0,1,0,0,0,5214.736007846322
3,2,0,24,4,8,30,11,20,2,50,1,0,0,0,0,4967.072223462302
7,3,1,6,5,10,0,20,25,10,25,0,1,0,0,0,10176.315964781741
7,3,2,9,5,14,30,8,55,18,25,0,1,0,0,0,14435.257063492065
10,3,1,1,5,6,30,16,20,9,50,0,1,0,0,0,11713.802601686515
7,1,0,3,3,15,0,16,25,1,25,0,0,0,0,1,4430.344352340368
7,4,2,9,6,12,0,7,40,19,40,0,0,1,0,0,9720.632594471504
1,4,1,3,6,15,45,22,5,6,20,0,0,1,0,0,6985.597281746031
10,3,1,6,6,6,30,16,20,9,50,0,1,0,0,0,12957.211212797625
10,4,1,9,6,18,15,4,25,10,10,0,0,1,0,0,11781.440481714466
7,3,1,15,5,9,10,13,15,4,5,0,1,0,0,0,8664.304006470958
7,2,1,6,3,11,50,11,35,23,45,1,0,0,0,0,12560.288835565472
10,2,0,18,5,17,45,20,45,3,0,1,0,0,0,0,6799.8435875496025
7,2,1,21,3,19,10,10,15,15,5,1,0,0,0,0,7744.896317527961
10,4,1,12,6,2,15,19,0,16,45,0,0,1,0,0,13239.138102791307
7,2,2,6,3,6,45,23,25,16,40,1,0,0,0,0,12224.013957093257
3,0,0,27,5,5,15,7,40,2,25,0,0,0,1,0,3673.5563467261904
10,4,1,15,6,15,0,19,0,28,0,0,0,1,0,0,11146.212164502165
5,3,1,24,3,9,55,10,50,24,55,0,1,0,0,0,11545.79210802218
2,4,1,21,5,20,45,7,10,10,25,0,0,1,0,0,7132.283241567461
7,4,2,15,6,13,15,7,40,18,25,0,0,1,0,0,12516.823087416056
10,2,0,1,4,8,20,11,20,3,0,1,0,0,0,0,6148.302008928572
7,2,0,27,5,21,5,23,55,2,50,1,0,0,0,0,5543.428384176586
1,1,0,15,3,5,45,7,5,1,20,0,0,0,0,1,3023.708339871933
1,2,0,24,3,5,45,8,35,2,50,1,0,0,0,0,4076.188232019722
3,4,1,3,6,20,25,1,30,5,5,0,0,1,0,0,5923.836623038418
10,2,0,15,4,19,50,22,50,3,0,1,0,0,0,0,5447.391809501264
8,4,1,9,3,6,0,12,55,6,55,0,0,1,0,0,15474.013595215545
10,3,1,12,5,14,5,18,15,28,10,0,1,0,0,0,9550.999029017854
2,3,2,18,5,15,10,23,30,8,20,0,1,0,0,0,5614.0447284226175
7,4,2,9,6,17,15,19,15,26,0,0,0,1,0,0,12515.633993055555
4,2,0,21,6,7,45,10,40,2,55,1,0,0,0,0,3939.401554044913
7,3,2,9,5,16,50,5,35,12,45,0,1,0,0,0,11801.337410488819
10,4,1,12,6,10,0,19,0,9,0,0,0,1,0,0,12260.439717261903
